wohnquartier;bestand_in_nichtwohngebaeuden;bestand_in_wohngebaeuden_insgesamt;wohnflaeche_je_wohnung;bestand_in_wohngebaeuden_mit_bj_vor_1949;bestand_in_wohngebaeuden_mit_bj_1949_bis_1969;bestand_in_wohngebaeuden_mit_bj_1970_bis_1989;bestand_in_wohngebaeuden_mit_bj_nach_1990;bestand_in_ezfh_insgesamt;bestand_in_ezfh_mit_bj_vor_1949;bestand_in_ezfh_mit_bj_1949_bis_1969;bestand_in_ezfh_mit_bj_1970_bis_1989;bestand_in_ezfh_mit_bj_nach_1990;bestand_in_in_mfh_insgesamt;bestand_in_mfh_mit_bj_vor_1949;bestand_in_mfh_mit_bj_1949_bis_1969;bestand_in_mfh_mit_bj_1970_bis_1989;bestand_in_mfh_mit_bj_nach_1990;durchschnittlicher_bestand_je_wohngebaeude
44003;11;660;106,08;149;205;176;130;171;50;40;20;61;489;99;165;156;69;2,9
44004;10;708;82,86;105;145;410;48;14;8;;;5;694;97;144;410;43;7,3
44005;;;;;;;;;;;;;;;;;;
51001;;;;;;;;;;;;;;;;;;
51002;;;;;;;;;;;;;;;;;;
51003;13;468;131,61;7;293;117;51;302;7;213;65;17;166;;80;52;34;1,8
51004;30;1389;89,95;568;393;117;311;412;224;132;31;25;977;344;261;86;286;2,8
51005;7;558;112,9;134;204;102;118;452;112;175;71;94;106;22;29;31;24;1,4
51006;;577;70,41;3;538;9;27;55;;49;;4;522;3;489;7;23;4,5
52001;;;;;;;;;;;;;;;;;;
52002;;784;112,34;47;215;189;333;412;23;158;62;169;372;24;57;127;164;1,9
52003;50;1216;96,45;283;445;372;116;535;190;239;95;11;681;93;206;277;105;2,1
52004;;;;;;;;;;;;;;;;;;
53001;;;;;;;;;;;;;;;;;;
53002;19;393;126,1;52;79;180;82;223;34;32;124;33;170;18;47;56;49;1,7
53003;7;775;93,22;140;237;182;216;184;52;53;57;22;591;88;184;125;194;3,2
53004;74;706;76,86;353;106;214;33;175;108;21;32;14;531;245;85;182;19;3,4
53005;43;867;97,88;89;73;458;247;225;21;19;106;79;642;68;54;352;168;2,8
53006;20;1561;91,62;161;529;565;306;409;61;72;116;160;1152;100;457;449;146;3,2
54001;;;;;;;;;;;;;;;;;;
54002;14;876;148,22;77;234;341;224;620;67;194;166;193;256;10;40;175;31;1,5
54003;152;1227;108,94;156;454;283;334;422;87;91;90;154;805;69;363;193;180;2,5
54004;;570;102,34;11;8;32;519;274;;8;3;262;296;10;;29;257;1,9
54005;8;672;101,34;3;112;4;553;324;;29;4;291;348;3;83;;262;1,9
55001;;;;;;;;;;;;;;;;;;
55002;7;1056;121,26;84;282;396;294;571;60;177;163;171;485;24;105;233;123;1,8
55003;10;1179;114,76;59;296;572;252;692;46;149;399;98;487;13;147;173;154;1,7
55004;39;871;92,7;116;313;242;200;371;69;146;112;44;500;47;167;130;156;2,2
55005;;;;;;;;;;;;;;;;;;
55006;;;;;;;;;;;;;;;;;;
56001;13;899;122,51;121;220;387;171;636;94;148;273;121;263;27;72;114;50;1,5
56002;;;;;;;;;;;;;;;;;;
61001;15;298;20,25;3;;3;291;5;;;3;;293;3;;;290;49,7
61002;22;951;98,81;43;147;432;329;598;28;89;252;229;353;15;58;180;100;1,6
61003;;707;81,38;31;104;505;67;55;16;35;4;;652;15;69;501;67;6,5
61004;12;768;62,19;27;487;220;34;292;;260;10;22;476;27;227;210;12;2,8
62001;;;;;;;;;;;;;;;;;;
62002;63;2168;68,54;266;746;601;555;274;72;111;21;70;1894;194;635;580;485;4,8
62003;;765;77,49;30;535;67;133;121;9;41;5;66;644;21;494;62;67;4
62004;;375;99,52;52;230;55;38;348;52;215;52;29;27;;15;3;9;1,3
62005;5;820;108,17;195;293;190;142;691;176;256;139;120;129;19;37;51;22;1,4
62006;26;1044;97,21;644;182;89;129;665;516;81;17;51;379;128;101;72;78;1,6
62007;3;1099;82,8;264;350;152;333;336;150;73;31;82;763;114;277;121;251;2,7
62008;55;2020;66,48;416;1225;88;291;148;48;49;11;40;1872;368;1176;77;251;5
62009;45;1185;70,8;262;529;245;149;127;64;40;14;9;1058;198;489;231;140;4,7
